bitcoin,cryptocurrency,dtime,isPartial
28,30,2017-01-01 00:00:00,False
32,16,2017-01-01 01:00:00,False
33,17,2017-01-01 02:00:00,False
41,54,2017-01-01 03:00:00,False
33,18,2017-01-01 04:00:00,False
32,0,2017-01-01 05:00:00,False
33,19,2017-01-01 06:00:00,False
30,36,2017-01-01 07:00:00,False
25,0,2017-01-01 08:00:00,False
23,16,2017-01-01 09:00:00,False
19,0,2017-01-01 10:00:00,False
26,0,2017-01-01 11:00:00,False
26,13,2017-01-01 12:00:00,False
29,12,2017-01-01 13:00:00,False
33,0,2017-01-01 14:00:00,False
31,54,2017-01-01 15:00:00,False
36,0,2017-01-01 16:00:00,False
49,0,2017-01-01 17:00:00,False
49,21,2017-01-01 18:00:00,False
45,32,2017-01-01 19:00:00,False
54,22,2017-01-01 20:00:00,False
66,24,2017-01-01 21:00:00,False
61,39,2017-01-01 22:00:00,False
49,15,2017-01-01 23:00:00,False
55,0,2017-01-02 00:00:00,False
51,32,2017-01-02 01:00:00,False
62,0,2017-01-02 02:00:00,False
60,32,2017-01-02 03:00:00,False
60,33,2017-01-02 04:00:00,False
57,17,2017-01-02 05:00:00,False
45,0,2017-01-02 06:00:00,False
45,45,2017-01-02 07:00:00,False
48,68,2017-01-02 08:00:00,False
54,50,2017-01-02 09:00:00,False
53,23,2017-01-02 10:00:00,False
60,22,2017-01-02 11:00:00,False
57,31,2017-01-02 12:00:00,False
59,19,2017-01-02 13:00:00,False
67,36,2017-01-02 14:00:00,False
66,17,2017-01-02 15:00:00,False
78,25,2017-01-02 16:00:00,False
59,40,2017-01-02 17:00:00,False
65,34,2017-01-02 18:00:00,False
78,52,2017-01-02 19:00:00,False
72,18,2017-01-02 20:00:00,False
64,41,2017-01-02 21:00:00,False
64,0,2017-01-02 22:00:00,False
76,13,2017-01-02 23:00:00,False
75,0,2017-01-03 00:00:00,False
51,29,2017-01-03 01:00:00,False
67,29,2017-01-03 02:00:00,False
